con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Sgain-Neut	3.6	opt4	FixMod	0.04424188528234771	0.3161174764633041	0.05266658090257368	0.06748468235651078
Sgain-Neut	4.8	opt1	CueMod	0.09822763185991885	0.38530314508900576	0.18782440367922904	0.17620559059393978
Sgain-Neut	4.8	opt1	AntMod	0.07301331181928196	0.39169648934705326	0.1763769181137008	0.1631892767409264
Sgain-Neut	4.8	opt1	FixMod	0.06892022068482354	0.41704048085165407	0.14755093356277157	0.16360026176163012
Sgain-Neut	4.8	opt2	CueMod	0.08863920099875156	0.3834467498296442	0.1585376645620137	0.19456583649838843
Sgain-Neut	4.8	opt2	AntMod	0.06165632980663992	0.3918587056701379	0.16822808742690196	0.17839775855234796
Sgain-Neut	4.8	opt2	FixMod	0.0595685148369045	0.3978759384517264	0.16456486033632958	0.17600877054493877
Sgain-Neut	4.8	opt3	CueMod	0.101720758004792	0.3974253429351785	0.11368763539605227	0.15436109324176575
Sgain-Neut	4.8	opt3	AntMod	0.07096098455092956	0.3980133630588503	0.09386742839969195	0.11655188980209913
Sgain-Neut	4.8	opt3	FixMod	0.05894627021387585	0.39627441803009816	0.07892386170220603	0.10212064386946856
Sgain-Neut	4.8	opt4	CueMod	0.10156563629064633	0.39531951947873323	0.10159039148913108	0.14977266488633842
Sgain-Neut	4.8	opt4	AntMod	0.07552402450822315	0.39331948690719215	0.07895057934544229	0.11125333190890845
Sgain-Neut	4.8	opt4	FixMod	0.060223584565452584	0.38824047624650243	0.05870341690093394	0.09301796462912655
Sgain-Neut	6.0	opt1	CueMod	0.1303213786679087	0.43515982817669663	0.21797622717014647	0.20339044134735146
Sgain-Neut	6.0	opt1	AntMod	0.09933242178074479	0.43686163034134	0.2172687268106596	0.19901944655096757
Sgain-Neut	6.0	opt1	FixMod	0.09878429548927124	0.4690471594080659	0.18225445369315946	0.20715893590761134
Sgain-Neut	6.0	opt2	CueMod	0.10684250764525993	0.43310274345306843	0.17649994424993112	0.22912017263803194
Sgain-Neut	6.0	opt2	AntMod	0.07747296105463491	0.4405573229994002	0.20155113819332798	0.21360461397360075
Sgain-Neut	6.0	opt2	FixMod	0.07974446524947681	0.45432367101200716	0.19692731012691597	0.21242397646954175
Sgain-Neut	6.0	opt3	CueMod	0.12158560959360426	0.44584695291473647	0.11582404830142343	0.1784915816712399
Sgain-Neut	6.0	opt3	AntMod	0.08669902912621359	0.4473421523131985	0.10334106984155125	0.14514922212989212
Sgain-Neut	6.0	opt3	FixMod	0.07639865815387946	0.4548256913778127	0.09244821596490983	0.1360156711649787
Sgain-Neut	6.0	opt4	CueMod	0.12192536983881651	0.44520230833759133	0.10363894407051688	0.1809940676480827
Sgain-Neut	6.0	opt4	AntMod	0.08993808781133324	0.44391074598594166	0.08666147702656979	0.14321975062043749
Sgain-Neut	6.0	opt4	FixMod	0.07889869471014109	0.44689081175594103	0.06649935575631559	0.12458764131620462
Sgain-Neut	7.2	opt1	CueMod	0.15954664341761116	0.4700433484406518	0.2451936310902076	0.222048137769748
Sgain-Neut	7.2	opt1	AntMod	0.1309742960387264	0.4667065677713373	0.2555346091478538	0.22681848983855343
Sgain-Neut	7.2	opt1	FixMod	0.1311572700296736	0.5040605161249812	0.2124991171068594	0.2438685530750965
Sgain-Neut	7.2	opt2	CueMod	0.10971861903811614	0.47295810326384863	0.19099493018697808	0.26021783950806554
Sgain-Neut	7.2	opt2	AntMod	0.0915398985855351	0.47784807070448493	0.23587175150828382	0.24521656408309886
Sgain-Neut	7.2	opt2	FixMod	0.10545129579982128	0.49905263244425546	0.22703220086491685	0.24256862925373238
Sgain-Neut	7.2	opt3	CueMod	0.1308545603944125	0.48208124264537583	0.11898226892431238	0.20509986220467985
Sgain-Neut	7.2	opt3	AntMod	0.10020860696901801	0.4848816670097672	0.11468440234756909	0.17769450425690425
Sgain-Neut	7.2	opt3	FixMod	0.09354755117906192	0.5012822380584128	0.11011955734257894	0.17420710793753236
Sgain-Neut	7.2	opt4	CueMod	0.1308794929049917	0.4826464606483995	0.10762494442793509	0.21490512771516257
Sgain-Neut	7.2	opt4	AntMod	0.102221555088562	0.48237572183792016	0.09669239131971806	0.178683779413968
Sgain-Neut	7.2	opt4	FixMod	0.09702030263213665	0.49324918790237654	0.07891531118224157	0.15824826068287795
