subject	model	motion	con	eff_est
sub-26	FixMod	opt2	Lgain-Neut	0.5899018466151176
sub-26	FixMod	opt3	Lgain-Neut	0.5074434071932912
sub-26	FixMod	opt4	Lgain-Neut	0.5074434071932912
sub-144	AntMod	opt1	Lgain-Neut	3.776229961072455
sub-144	AntMod	opt2	Lgain-Neut	3.3869137130872415
sub-144	AntMod	opt3	Lgain-Neut	2.9725479856594195
sub-144	AntMod	opt4	Lgain-Neut	2.9710233887587276
sub-144	CueMod	opt1	Lgain-Neut	1.3175662649383226
sub-144	CueMod	opt2	Lgain-Neut	1.1795164403201763
sub-144	CueMod	opt3	Lgain-Neut	1.0363254568751739
sub-144	CueMod	opt4	Lgain-Neut	1.0360801127099661
sub-144	FixMod	opt1	Lgain-Neut	0.7235457804228713
sub-144	FixMod	opt2	Lgain-Neut	0.6531109391357359
sub-144	FixMod	opt3	Lgain-Neut	0.5629309382292731
sub-144	FixMod	opt4	Lgain-Neut	0.5620017795949706
sub-104	AntMod	opt1	Lgain-Neut	3.6836262865053926
sub-104	AntMod	opt2	Lgain-Neut	3.223697016056306
sub-104	AntMod	opt3	Lgain-Neut	2.8791706695029955
sub-104	AntMod	opt4	Lgain-Neut	2.788875090450597
sub-104	CueMod	opt1	Lgain-Neut	1.25100679741159
sub-104	CueMod	opt2	Lgain-Neut	1.1037924960656857
sub-104	CueMod	opt3	Lgain-Neut	0.9695419604734716
sub-104	CueMod	opt4	Lgain-Neut	0.9417133333514525
sub-104	FixMod	opt1	Lgain-Neut	0.7274888212084641
sub-104	FixMod	opt2	Lgain-Neut	0.6355105955595219
sub-104	FixMod	opt3	Lgain-Neut	0.5849468995899652
sub-104	FixMod	opt4	Lgain-Neut	0.5643404389399291
sub-119	AntMod	opt1	Lgain-Neut	3.7683230566531254
sub-119	AntMod	opt2	Lgain-Neut	3.1131975542811725
sub-119	AntMod	opt3	Lgain-Neut	2.821041895217287
sub-119	AntMod	opt4	Lgain-Neut	2.7216739600689515
